"title","img","desc"
"Ebi Tempura Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr1.jpg","Cucumber, Mayonaise, Ebi Tempura, Tempura bits, Sweet Chili and Teriyaki Sauce."
"California Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr2.jpg","Avocado, Cucumber, Crab Stick, Lolo Rosso, Tobiko, Mayonaise."
"Dragon Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr3.jpg","Cucumber, Ebi Tempura, Teriyaki Sauce, Avocado, Crispy Crab, Sriracha, Japanese Mayo, Spring Onion, Tobiko"
"Salmon Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr4.jpg","Salmon, Avocado, Seared Salmon, Mayonnaise, Ikura"
"Spicy Salmon Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr5.jpg","Spicy Salmon Filling, Avocado, Cream Cheese, Spicy Salmon FIlling, Spicy Mayo"
"Special Tuna Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr6.jpg","Avocado, Akami, Chutoro, Ootoro, Japanese Mayo"
"Spicy Tuna Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr7.jpg","Spicy Tuna Filling, Cucumber, FIlling, Japanese Mayo, Black and White Sesame"
"Rainbow Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr8-1.jpg","Avocado, Cucumber, Crab Stick, Lolo Rosso, Tuna, Salmon, Squid"
"Unagi Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr9.jpg","Grilled eel, Cucumber, Teriyaki Sauce, Sansyo pepper"
"Tiger Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr10.jpg","Tiger Roll
Cucumber, Japanese Mayo, Ebi Tempura, Spicy Tuna Filling, Spicy Mayo, Spring Onion, Sesame seed"
"Wagyu Yaniku Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr11.jpg","Grilled beef, Kimchi, Lolo rosso, Japanese mayo, Sesame seed, Spicy mayo"
"Queen Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr12.jpg","Crab Stick, Salmon, Philadelphia, Tenkatsu, Tobiko, Teriyaki sauce, Japanese Mayo"
"King Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr13.jpg","Avocado, Crab Stick, Shrimp Tempura, Salmon, Springonion, Teriyaki sauce, Spicy mayo, Tenkatsu"
"Cheese Rock’N Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr14.jpg","Avocado, Cucumber, Philadelphia, Seared Salmon, Spicy Mayo, Bonito Flakes"
"Cucumber Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr15.jpg","Crab Stick, Salmon, Philadelphia, Tenkatsu, Tobiko, Teriyaki sauce, Japanese Mayo"
"Umeshiso Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr16.jpg","Shiitake, Cucumber, Ume Paste, Ova Leaf"
"Veggie Roll","https://kimurayadubai.com/wp-content/uploads/2022/08/rr17.jpg","Asparagus, Carrot, Cucumber, Avocado, Pickled Radish, Sriracha"
